vd;V(vo1);V(vo1)-V(vo2);V(vo2)
-8.479999999999999e-001;6.000000e+000;5.099945e+000;9.000547e-001
-8.459999999999999e-001;6.000000e+000;5.099945e+000;9.000547e-001
-8.439999999999999e-001;6.000000e+000;5.099945e+000;9.000547e-001
-8.419999999999999e-001;6.000000e+000;5.099945e+000;9.000547e-001
-8.399999999999999e-001;6.000000e+000;5.099945e+000;9.000547e-001
-8.379999999999999e-001;6.000000e+000;5.099945e+000;9.000547e-001
-8.359999999999999e-001;6.000000e+000;5.099945e+000;9.000547e-001
-8.339999999999999e-001;6.000000e+000;5.099945e+000;9.000547e-001
-8.319999999999999e-001;6.000000e+000;5.099945e+000;9.000547e-001
-8.299999999999999e-001;6.000000e+000;5.099945e+000;9.000547e-001
-8.279999999999999e-001;6.000000e+000;5.099945e+000;9.000547e-001
-8.259999999999999e-001;6.000000e+000;5.099945e+000;9.000547e-001
-8.239999999999998e-001;6.000000e+000;5.099945e+000;9.000547e-001
-8.219999999999998e-001;6.000000e+000;5.099945e+000;9.000547e-001
-8.199999999999998e-001;6.000000e+000;5.099945e+000;9.000547e-001
-8.179999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-8.159999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-8.139999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-8.119999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-8.099999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-8.079999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-8.059999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-8.039999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-8.019999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-7.999999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-7.979999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-7.959999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-7.939999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-7.919999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-7.899999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-7.879999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-7.859999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-7.839999999999998e-001;6.000000e+000;5.099945e+000;9.000548e-001
-7.819999999999998e-001;6.000000e+000;5.099945e+000;9.000549e-001
-7.799999999999998e-001;6.000000e+000;5.099945e+000;9.000549e-001
-7.779999999999998e-001;6.000000e+000;5.099945e+000;9.000549e-001
-7.759999999999998e-001;6.000000e+000;5.099945e+000;9.000549e-001
-7.739999999999998e-001;6.000000e+000;5.099945e+000;9.000549e-001
-7.719999999999998e-001;6.000000e+000;5.099945e+000;9.000549e-001
-7.699999999999998e-001;6.000000e+000;5.099945e+000;9.000549e-001
-7.679999999999998e-001;6.000000e+000;5.099945e+000;9.000549e-001
-7.659999999999998e-001;6.000000e+000;5.099945e+000;9.000550e-001
-7.639999999999998e-001;6.000000e+000;5.099945e+000;9.000550e-001
-7.619999999999998e-001;6.000000e+000;5.099945e+000;9.000550e-001
-7.599999999999998e-001;6.000000e+000;5.099944e+000;9.000551e-001
-7.579999999999998e-001;6.000000e+000;5.099944e+000;9.000551e-001
-7.559999999999998e-001;6.000000e+000;5.099944e+000;9.000551e-001
-7.539999999999998e-001;6.000000e+000;5.099944e+000;9.000551e-001
-7.519999999999998e-001;6.000000e+000;5.099944e+000;9.000552e-001
-7.499999999999998e-001;6.000000e+000;5.099944e+000;9.000552e-001
-7.479999999999998e-001;6.000000e+000;5.099944e+000;9.000552e-001
-7.459999999999998e-001;6.000000e+000;5.099944e+000;9.000553e-001
-7.439999999999998e-001;6.000000e+000;5.099944e+000;9.000553e-001
-7.419999999999998e-001;6.000000e+000;5.099944e+000;9.000553e-001
-7.399999999999998e-001;6.000000e+000;5.099944e+000;9.000554e-001
-7.379999999999998e-001;6.000000e+000;5.099944e+000;9.000555e-001
-7.359999999999998e-001;6.000000e+000;5.099944e+000;9.000555e-001
-7.339999999999998e-001;6.000000e+000;5.099944e+000;9.000556e-001
-7.319999999999998e-001;5.999999e+000;5.099943e+000;9.000556e-001
-7.299999999999998e-001;5.999999e+000;5.099943e+000;9.000557e-001
-7.279999999999998e-001;5.999999e+000;5.099943e+000;9.000558e-001
-7.259999999999998e-001;5.999999e+000;5.099943e+000;9.000559e-001
-7.239999999999998e-001;5.999999e+000;5.099943e+000;9.000560e-001
-7.219999999999998e-001;5.999999e+000;5.099943e+000;9.000561e-001
-7.199999999999998e-001;5.999999e+000;5.099942e+000;9.000562e-001
-7.179999999999998e-001;5.999999e+000;5.099942e+000;9.000563e-001
-7.159999999999998e-001;5.999999e+000;5.099942e+000;9.000564e-001
-7.139999999999998e-001;5.999999e+000;5.099942e+000;9.000565e-001
-7.119999999999997e-001;5.999999e+000;5.099942e+000;9.000567e-001
-7.099999999999997e-001;5.999998e+000;5.099941e+000;9.000568e-001
-7.079999999999997e-001;5.999998e+000;5.099941e+000;9.000570e-001
-7.059999999999997e-001;5.999998e+000;5.099941e+000;9.000572e-001
-7.039999999999997e-001;5.999998e+000;5.099940e+000;9.000574e-001
-7.019999999999997e-001;5.999998e+000;5.099940e+000;9.000576e-001
-6.999999999999997e-001;5.999998e+000;5.099940e+000;9.000578e-001
-6.979999999999997e-001;5.999997e+000;5.099939e+000;9.000580e-001
-6.959999999999997e-001;5.999997e+000;5.099939e+000;9.000583e-001
-6.939999999999997e-001;5.999997e+000;5.099938e+000;9.000586e-001
-6.919999999999997e-001;5.999997e+000;5.099938e+000;9.000589e-001
-6.899999999999997e-001;5.999996e+000;5.099937e+000;9.000592e-001
-6.879999999999997e-001;5.999996e+000;5.099936e+000;9.000595e-001
-6.859999999999997e-001;5.999996e+000;5.099936e+000;9.000599e-001
-6.839999999999997e-001;5.999995e+000;5.099935e+000;9.000603e-001
-6.819999999999997e-001;5.999995e+000;5.099934e+000;9.000607e-001
-6.799999999999997e-001;5.999994e+000;5.099933e+000;9.000612e-001
-6.779999999999997e-001;5.999994e+000;5.099932e+000;9.000617e-001
-6.759999999999997e-001;5.999993e+000;5.099931e+000;9.000622e-001
-6.739999999999997e-001;5.999993e+000;5.099930e+000;9.000628e-001
-6.719999999999997e-001;5.999992e+000;5.099929e+000;9.000634e-001
-6.699999999999997e-001;5.999992e+000;5.099928e+000;9.000641e-001
-6.679999999999997e-001;5.999991e+000;5.099926e+000;9.000648e-001
-6.659999999999997e-001;5.999990e+000;5.099925e+000;9.000655e-001
-6.639999999999997e-001;5.999990e+000;5.099923e+000;9.000664e-001
-6.619999999999997e-001;5.999989e+000;5.099922e+000;9.000673e-001
-6.599999999999997e-001;5.999988e+000;5.099920e+000;9.000683e-001
-6.579999999999997e-001;5.999987e+000;5.099918e+000;9.000694e-001
-6.559999999999997e-001;5.999986e+000;5.099915e+000;9.000705e-001
-6.539999999999997e-001;5.999985e+000;5.099913e+000;9.000717e-001
-6.519999999999997e-001;5.999983e+000;5.099910e+000;9.000730e-001
-6.499999999999997e-001;5.999982e+000;5.099908e+000;9.000744e-001
