Freq.,V(vo1)-V(vo2))/V(vc),Fase
1.00000000000000e+001,-503,0.00000000000000e+000
1.00003617524573e+001,-503,0.00000000000000e+000
1.00007235180010e+001,-503,0.00000000000000e+000
1.00010852966317e+001,-503,0.00000000000000e+000
1.00014470883499e+001,-503,0.00000000000000e+000
1.00018088931559e+001,-503,0.00000000000000e+000
1.00021707110504e+001,-503,0.00000000000000e+000
1.00025325420336e+001,-503,0.00000000000000e+000
1.00028943861062e+001,-503,0.00000000000000e+000
1.00032562432686e+001,-503,0.00000000000000e+000
1.00036181135213e+001,-503,0.00000000000000e+000
1.00039799968647e+001,-503,0.00000000000000e+000
1.00043418932994e+001,-503,0.00000000000000e+000
1.00047038028257e+001,-503,0.00000000000000e+000
1.00050657254442e+001,-503,0.00000000000000e+000
1.00054276611553e+001,-503,0.00000000000000e+000
1.00057896099596e+001,-503,0.00000000000000e+000
1.00061515718574e+001,-503,0.00000000000000e+000
1.00065135468493e+001,-503,0.00000000000000e+000
1.00068755349357e+001,-503,0.00000000000000e+000
1.00072375361172e+001,-503,0.00000000000000e+000
1.00075995503941e+001,-503,0.00000000000000e+000
1.00079615777670e+001,-503,0.00000000000000e+000
1.00083236182363e+001,-503,0.00000000000000e+000
1.00086856718025e+001,-503,0.00000000000000e+000
1.00090477384661e+001,-503,0.00000000000000e+000
1.00094098182275e+001,-503,0.00000000000000e+000
1.00097719110873e+001,-503,0.00000000000000e+000
1.00101340170458e+001,-503,0.00000000000000e+000
1.00104961361036e+001,-503,0.00000000000000e+000
1.00108582682612e+001,-503,0.00000000000000e+000
1.00112204135190e+001,-503,0.00000000000000e+000
1.00115825718775e+001,-503,0.00000000000000e+000
1.00119447433372e+001,-503,0.00000000000000e+000
1.00123069278984e+001,-503,0.00000000000000e+000
1.00126691255619e+001,-503,0.00000000000000e+000
1.00130313363279e+001,-503,0.00000000000000e+000
1.00133935601969e+001,-503,0.00000000000000e+000
1.00137557971695e+001,-503,0.00000000000000e+000
1.00141180472461e+001,-503,0.00000000000000e+000
1.00144803104272e+001,-503,0.00000000000000e+000
1.00148425867133e+001,-503,0.00000000000000e+000
1.00152048761048e+001,-503,0.00000000000000e+000
1.00155671786022e+001,-503,0.00000000000000e+000
1.00159294942060e+001,-503,0.00000000000000e+000
1.00162918229166e+001,-503,0.00000000000000e+000
1.00166541647346e+001,-503,0.00000000000000e+000
1.00170165196604e+001,-503,0.00000000000000e+000
1.00173788876944e+001,-503,0.00000000000000e+000
1.00177412688372e+001,-503,0.00000000000000e+000
1.00181036630893e+001,-503,0.00000000000000e+000
1.00184660704510e+001,-503,0.00000000000000e+000
1.00188284909229e+001,-503,0.00000000000000e+000
1.00191909245055e+001,-503,0.00000000000000e+000
1.00195533711991e+001,-503,0.00000000000000e+000
1.00199158310044e+001,-503,0.00000000000000e+000
1.00202783039218e+001,-503,0.00000000000000e+000
1.00206407899517e+001,-503,0.00000000000000e+000
1.00210032890946e+001,-503,0.00000000000000e+000
1.00213658013510e+001,-503,0.00000000000000e+000
1.00217283267214e+001,-503,0.00000000000000e+000
1.00220908652062e+001,-503,0.00000000000000e+000
1.00224534168060e+001,-503,0.00000000000000e+000
1.00228159815211e+001,-503,0.00000000000000e+000
1.00231785593521e+001,-503,0.00000000000000e+000
1.00235411502995e+001,-503,0.00000000000000e+000
1.00239037543636e+001,-503,0.00000000000000e+000
1.00242663715451e+001,-503,0.00000000000000e+000
1.00246290018443e+001,-503,0.00000000000000e+000
1.00249916452618e+001,-503,0.00000000000000e+000
1.00253543017980e+001,-503,0.00000000000000e+000
1.00257169714533e+001,-503,0.00000000000000e+000
1.00260796542284e+001,-503,0.00000000000000e+000
1.00264423501235e+001,-503,0.00000000000000e+000
1.00268050591393e+001,-503,0.00000000000000e+000
1.00271677812762e+001,-503,0.00000000000000e+000
1.00275305165346e+001,-503,0.00000000000000e+000
1.00278932649151e+001,-503,0.00000000000000e+000
1.00282560264181e+001,-503,0.00000000000000e+000
1.00286188010441e+001,-503,0.00000000000000e+000
1.00289815887935e+001,-503,0.00000000000000e+000
1.00293443896669e+001,-503,0.00000000000000e+000
1.00297072036646e+001,-503,0.00000000000000e+000
1.00300700307873e+001,-503,0.00000000000000e+000
1.00304328710353e+001,-503,0.00000000000000e+000
1.00307957244092e+001,-503,0.00000000000000e+000
1.00311585909094e+001,-503,0.00000000000000e+000
1.00315214705363e+001,-503,0.00000000000000e+000
1.00318843632905e+001,-503,0.00000000000000e+000
1.00322472691725e+001,-503,0.00000000000000e+000
1.00326101881826e+001,-503,0.00000000000000e+000
1.00329731203215e+001,-503,0.00000000000000e+000
1.00333360655895e+001,-503,0.00000000000000e+000
1.00336990239871e+001,-503,0.00000000000000e+000
1.00340619955149e+001,-503,0.00000000000000e+000
1.00344249801732e+001,-503,0.00000000000000e+000
1.00347879779626e+001,-503,0.00000000000000e+000
1.00351509888835e+001,-503,0.00000000000000e+000
1.00355140129364e+001,-503,0.00000000000000e+000
1.00358770501219e+001,-503,0.00000000000000e+000
1.00362401004402e+001,-503,0.00000000000000e+000
1.00366031638920e+001,-503,0.00000000000000e+000
1.00369662404778e+001,-503,0.00000000000000e+000
1.00373293301979e+001,-503,0.00000000000000e+000
1.00376924330528e+001,-503,0.00000000000000e+000
1.00380555490431e+001,-503,0.00000000000000e+000
1.00384186781692e+001,-503,0.00000000000000e+000
1.00387818204316e+001,-503,0.00000000000000e+000
1.00391449758308e+001,-503,0.00000000000000e+000
1.00395081443672e+001,-503,0.00000000000000e+000
1.00398713260413e+001,-503,0.00000000000000e+000
1.00402345208536e+001,-503,0.00000000000000e+000
1.00405977288045e+001,-503,0.00000000000000e+000
1.00409609498946e+001,-503,0.00000000000000e+000
1.00413241841243e+001,-503,0.00000000000000e+000
1.00416874314941e+001,-503,0.00000000000000e+000
1.00420506920045e+001,-503,0.00000000000000e+000
1.00424139656558e+001,-503,0.00000000000000e+000
1.00427772524487e+001,-503,0.00000000000000e+000
1.00431405523836e+001,-503,0.00000000000000e+000
1.00435038654610e+001,-503,0.00000000000000e+000
1.00438671916813e+001,-503,0.00000000000000e+000
1.00442305310450e+001,-503,0.00000000000000e+000
1.00445938835526e+001,-503,0.00000000000000e+000
1.00449572492046e+001,-503,0.00000000000000e+000
1.00453206280014e+001,-503,0.00000000000000e+000
1.00456840199435e+001,-503,0.00000000000000e+000
1.00460474250314e+001,-503,0.00000000000000e+000
1.00464108432656e+001,-503,0.00000000000000e+000
1.00467742746465e+001,-503,0.00000000000000e+000
1.00471377191747e+001,-503,0.00000000000000e+000
1.00475011768505e+001,-503,0.00000000000000e+000
1.00478646476745e+001,-503,0.00000000000000e+000
1.00482281316472e+001,-503,0.00000000000000e+000
1.00485916287690e+001,-503,0.00000000000000e+000
1.00489551390404e+001,-503,0.00000000000000e+000
